Kjedenavn;1_Kategori_nr;1_Kategori_navn;2_Hovedvaregruppe_nr;2_Hovedvaregruppe_navn;3_Undervaregruppe_nr;3_Undervaregruppe_navn;4_Varegruppe_nr;4_Varegruppe_navn;Hovedvaregruppenr_UNSPSC;Hovedvaregruppenavn_UNSPSC;Undervaregruppe_1_nr_UNSPSC;Undervaregruppe_1_navn_UNSPSC;Undervaregruppe_2_nr_UNSPSC;Undervaregruppe_2_navn_UNSPSC;Undervaregruppe_3_nr_UNSPSC;Undervaregruppe_3_navn_UNSPSC;NG Sortimentskode;EAN D-Pakn;EAN F-Pakn;Varenummer;Nytt Varenummer;Varenavn;Antall;Pakn.type;Mengde;Måleenhet;Nettovekt;Pris pakn.type;Pris bestill.enh;Pris måleenhet;Anbrekk;Antall i anbrekk;OrdreBetingelser;Holdbarhet;Temperaturkrav;Maksimumstemperatur;Minimumstemperatur;Vektvare;Leverandørnavn;MVA;Energi kilojoule;Energi kcal;Protein;Karbohydrat;Fett;Sukker;Mettede fettsyrer;Kostfiber;Natrium;Flerumettede fettsyrer;Jern;Kalium;Egg;Fisk;Gluten;Melk;Nøtter;Peanøtter;Selleri;Sennep;Sesam;Skalldyr;Soya;Sulfitt;Bløtdyr;Lupiner;Svanen;Blomsten;FSC;MSC;Ø-merket (Debio);EU sitt økologimerke;Krav;Fairtrade;TCO;Energy Star;Nøkkelhullet;Nyt Norge;Genmodifisert;Økologisk;Allergitestet;Varebilde_url;Miljøbilde_url;HMS-datablad_url;Varedeklarasjon;Vare_beskrivelse
VOIS;10;TØRRVARE;1;BAKEVARER;110;SUKKER/ SØTNING;1012;SUKKER;50000000;Mat, drikkevarer og tobakksprodukter;50160000;Sjokolade, sukker, søtningsstoffer og konfekt;50161500;Sjokolade, sukker og søtningsprodukter;50161509;Naturlig sukker eller søtningsprodukter;3;7310340520377;5701259507115;4469987;;PERLESUKKER 500G DANSUKKER;7;stk;0,5;kg;0,5;17,09;119,63;34,18;;;J;333;Tørrvare / Ingen krav;0;0;N;UNIL AS;15;1700;400;0;100;0;100;0;0;;;;;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/5701259507115/as/large.jpg;https://bilder.ngdata.no/5701259507115/campaign/large.jpg;;Sukrose.;Perlesukker med transparente perler. Velegnet som pynt på bakverk. Løfter bakverket visuelt og smaksmessig.
VOIS;10;TØRRVARE;1;BAKEVARER;110;SUKKER/ SØTNING;1009;MELIS;50000000;Mat, drikkevarer og tobakksprodukter;50160000;Sjokolade, sukker, søtningsstoffer og konfekt;50161500;Sjokolade, sukker og søtningsprodukter;50161509;Naturlig sukker eller søtningsprodukter;1;27035620054017;7311041000403;3166998;;MELIS 500G ELDORADO;12;pk;0,5;kg;0,5;14,69;176,28;29,38;;;N;50;Tørrvare / Ingen krav;0;0;N;UNIL AS;15;1700;400;0;100;0;98;0;0;;;;;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7311041000403/as/large.jpg;https://bilder.ngdata.no/7311041000403/campaign/large.jpg;;Sukker 98 %, potetstivelse.;Eldorado Melis er godt egnet til både bakverk og til glasur.
VOIS;10;TØRRVARE;1;BAKEVARER;110;SUKKER/ SØTNING;1013;SUKKERBITER;50000000;Mat, drikkevarer og tobakksprodukter;50160000;Sjokolade, sukker, søtningsstoffer og konfekt;50161500;Sjokolade, sukker og søtningsprodukter;50161509;Naturlig sukker eller søtningsprodukter;3;27035620058916;7311041000380;3204377;;SUKKERBITER RAFFINADE LØS 500G ELDORADO;10;pk;0,5;kg;0,5;17,23;172,3;34,46;;;J;333;Tørrvare / Ingen krav;0;0;N;UNIL AS;15;1700;400;0;100;0;100;0;0;;;;;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7311041000380/as/large.jpg;https://bilder.ngdata.no/7311041000380/campaign/large.jpg;;Sukker.;Sukkerbiter av hvitt sukker.
VOIS;10;TØRRVARE;1;BAKEVARER;110;SUKKER/ SØTNING;1014;SØTNINGSSTOFF, BAKEVARE;50000000;Mat, drikkevarer og tobakksprodukter;50160000;Sjokolade, sukker, søtningsstoffer og konfekt;50161500;Sjokolade, sukker og søtningsprodukter;50161510;Kunstige søtningsmidler;3;8711000476567;8711000476345;5818380;;NATREEN PULVER 70G;6;gl;0,07;kg;0,07;36,01;216,06;514,43;;;J;50;Tørrvare / Ingen krav;0;0;N;JDE RETAIL NORGE;15;1500;353;0;88;0;5,1;0;;;;;;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/8711000476345/as/large.jpg;https://bilder.ngdata.no/8711000476345/campaign/large.jpg;;Maltodextrin, Søtningsmidler (Natriumsyklamat, Natriumsakkarin), Stabilisator (Natriumcitrat).;lle Natreen produktene er egnet til å erstatte sukker, men de ulike produktene har forskjellige bruksområder. Natreen - og Natreen Stevia søtningstabletter er ideelle for varme drikker som kaffe og te. Om du heller foretrekker tekstur og munnfølelse av sukker, så er Natreen strø bedre, og for å tilberede deilige desserter, muffins og kaker kan både Natreen strø og Natreen flytende anvendes.
VOIS;10;TØRRVARE;1;BAKEVARER;113;GJÆR/ SURDEIG;1016;GJÆR, TØRR;50000000;Mat, drikkevarer og tobakksprodukter;50180000;Brød og bakeriprodukter;50181700;Bakeblandinger og tilbehør;50181709;Baketilbehør;1;7072130010597;7072130010580;4518916;;TØRRGJÆR ORIGINAL 5PK IDUN;10;esk;5;porsjon;0,065;14,51;145,1;2,9;;;J;50;Tørrvare / Ingen krav;0;0;N;IDUN INDUSTRI AS DAGLIGVARE;15;1500;350;43;20;5,7;15;0,9;27;;;;;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7072130010580/as/large.jpg;https://bilder.ngdata.no/7072130010580/campaign/large.jpg;;tørket gjær, emulagtor E491 (vegetabilsk);Denne gjæren passer til alle typer gjærbakst, men er spesielt godt egnet til baking av brød, rundstykker og annen litt grovere bakst som ikke inneholder mer enn 3 spiseskjeer sukker eller sirup pr. 50 gram gjær. Tørrgjær tilsettes de tørre ingrediensene, innen væsken på tilsettes
VOIS;10;TØRRVARE;1;BAKEVARER;116;BAKEMIKS;1024;VAFLER, BAKEMIKS;50000000;Mat, drikkevarer og tobakksprodukter;50180000;Brød og bakeriprodukter;50181700;Bakeblandinger og tilbehør;50181708;Bakeblandinger;1;7020655540570;7020655540587;2610657;;VAFFELMIKS 1KG MØLLERENS;6;pos;1;kg;1;40,04;240,24;40,04;;;J;50;Tørrvare / Ingen krav;;;N;NORGESMØLLENE AS;15;992;237;4;29,1;11,4;8,7;6,6;0,9;;0,5;;;Ja inneholder;Fri for;Ja inneholder;Kan inneholde spor av;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7020655540587/as/large.jpg;https://bilder.ngdata.no/7020655540587/campaign/large.jpg;;HVETEMEL, sukker, HELEGGPULVER, hevemiddel (E450, E500, E341), salt og vaniljesukker (melis, potetstivelse, vaniljearoma);
VOIS;10;TØRRVARE;1;BAKEVARER;122;KAKEFYLL/PYNT;1031;KAKEPYNT;50000000;Mat, drikkevarer og tobakksprodukter;50180000;Brød og bakeriprodukter;50181700;Bakeblandinger og tilbehør;50181709;Baketilbehør;3;5701073162309;5701073062302;2619096;;STRØSSEL BLANDET 120G DR.OETKER;8;bx;0,12;kg;0,12;22,84;182,72;190,33;;;J;50;Tørrvare / Ingen krav;;;N;DR. OETKER NORGE;15;1697;400;0,1;97;1,3;91;1,2;;;;;;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/5701073062302/as/large.jpg;https://bilder.ngdata.no/5701073062302/campaign/large.jpg;;Sukker, modifisert stivelse (mais), kokosolje, glukosesirup, konsentrat fra (tistel, sitron, søtpotet og reddik), aroma, antiklumpemiddel (talkum), farge (E133).;Mestselgende strøssel til sjokolade langpannekake, men også populært på is 6x 120g en facing i bredde
VOIS;10;TØRRVARE;1;BAKEVARER;122;KAKEFYLL/PYNT;1030;KAKEKREM/-FYLL;50000000;Mat, drikkevarer og tobakksprodukter;50180000;Brød og bakeriprodukter;50181700;Bakeblandinger og tilbehør;50181709;Baketilbehør;3;7038010488313;7038010048838;2987501;;VANILJEKREM 500ML PIANO;10;pk;0,5;ltr;0,535;27,14;271,4;54,28;;;J;50;Tørrvare / Ingen krav;;;N;TINE SA;15;572;137;2,8;15;7,2;11;4,6;;;;;;Fri for;Fri for;Fri for;Ja inneholder;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;J;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7038010048838/as/large.jpg;https://bilder.ngdata.no/7038010048838/campaign/large.jpg;;lettmelk, kremfløte, 7% sukker, modifisert stivelse, aroma, stabilisator (natriumalginat, karragenan, difosfater, kalsiumsulfat), vaniljeekstrakt, fargestoff (karotener);Til bake høytider
VOIS;10;TØRRVARE;1;BAKEVARER;122;KAKEFYLL/PYNT;1030;KAKEKREM/-FYLL;50000000;Mat, drikkevarer og tobakksprodukter;50180000;Brød og bakeriprodukter;50181700;Bakeblandinger og tilbehør;50181709;Baketilbehør;3;7038010621512;7038010062155;5103072;;VANILJEKREM TIL BAKING 500ML PIANO;10;pk;0,5;ltr;0,535;27,89;278,9;55,78;;;J;50;Tørrvare / Ingen krav;0;0;N;TINE SA;15;573;137;3;15;7,2;11;4,5;;;;;;Fri for;Fri for;Fri for;Ja inneholder;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;J;N;N;N;https://bilder.ngdata.no/7038010062155/as/large.jpg;https://bilder.ngdata.no/7038010062155/campaign/large.jpg;;lettmelk, kremfløte, 8 % sukker, modifisert stivelse, aroma, stabilisator (natriumalginat, karragenan, difosfater, kalsiumsulfat), gelatin (fra storfe), vaniljeekstrakt, vaniljefrø, fargestoff (karotener);Endelig en vaniljekrem spesielt laget til gjærbakst. Vaniljekremen «holder fasongen» bedre og ser mer fristende ut etter steking. Inneholder ekte vaniljefrø og smaker veldig godt!
VOIS;10;TØRRVARE;1;BAKEVARER;122;KAKEFYLL/PYNT;1032;KOKOSMASSE;50000000;Mat, drikkevarer og tobakksprodukter;50100000;Frukt og grønnsaker, nøtter og frø;50101700;Nøtter og frø;;;3;27035620048542;7035620036934;3196466;;KOKOSMASSE 250G ELDORADO;12;pos;0,25;kg;0,25;14,61;175,32;58,44;;;J;50;Tørrvare / Ingen krav;0;0;N;UNIL AS;15;2743;666;6,9;6,4;64,5;6,4;57,2;16,3;;0,7;3,3;543;Fri for;Fri for;Fri for;Fri for;Kan inneholde spor av;Kan inneholde spor av;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;Fri for;N;N;N;N;N;N;N;N;N;N;N;N;N;N;N;https://bilder.ngdata.no/7035620036934/as/large.jpg;https://bilder.ngdata.no/7035620036934/campaign/large.jpg;;Tørket og finhakket kokosmasse.;Finrevet kokosmasse tilpasset det norske kjøkkenet. Kokosmasse består av ren, tørket kokos som brukes til kaker, baking og frokostblandinger. Det kan også brukes til å lage eget kokossmør.
